v1,v2
ham,Hey how are you doing today?
spam,Congratulations you've won a free iPhone click here to claim now!
ham,Let's meet tomorrow at 5pm.
spam,Win a free vacation to Hawaii now!
ham,Please send me the report when ready.
spam,Claim your free cash prize now!
ham,Can we talk later today?
spam,You have been selected for a $1000 gift card!
ham,Are you free for lunch tomorrow?
spam,Exclusive offer only for you click to claim
ham,Thanks for your help yesterday!
spam,Win big rewards visit our website today
ham,I'll call you after my meeting.
spam,You won a free coupon click below!
ham,Don't forget to bring your notes to class.
spam,Get rich quick with this one-time offer!
ham,Let's go for a walk later.
spam,Free entry in a prize draw text WIN to 12345
ham,Your appointment is confirmed for 3PM.
spam,You have been chosen for free tickets claim now!
ham,I'll see you at the gym later.
spam,You’ve won $5000 cash prize act now!
ham,Thanks for the reminder see you soon.
spam,Free subscription upgrade available now!
ham,Let’s catch up this weekend.
spam,Claim your reward points before they expire!
ham,Your payment has been received successfully.
spam,You have a chance to win free rewards!
ham,Can you email me the files please?
spam,This is your last chance to win big!
ham,Looking forward to our meeting tomorrow.
spam,You’ve won an Amazon gift card!
ham,Did you complete the project report?
spam,Congratulations you’ve won lucky draw!
ham,Let’s grab coffee sometime.
spam,Free entry to our lucky contest register now!
ham,Can we schedule a meeting next week?
spam,Get exclusive deals on your phone plan!
ham,Are you coming to the office today?
spam,Claim your bonus offer limited time only!
ham,Can you share the notes from yesterday’s class?
spam,You’ve been pre-approved for a loan!
ham,Thanks for the quick response.
spam,Act fast your free gift is waiting!
ham,Please confirm the delivery schedule.
spam,You have been selected to receive free samples!
ham,See you at the event tonight.
spam,Win $100 gift card now hurry up!
ham,Your meeting is postponed to next week.
spam,Win free movie tickets today!
ham,Your order has been shipped successfully.
spam,Limited offer buy one get one free!
ham,Can you please share your timesheet?
spam,Get free Netflix subscription for 1 year!
ham,Please bring your ID to the office tomorrow.
spam,You have won a $200 shopping voucher!
ham,Can we discuss the project this evening?
spam,Click here to claim your reward instantly!
ham,I’ll send you the file after lunch.
spam,Win a new iPad register today!
ham,Thanks for attending the meeting yesterday.
spam,Claim your cashback now before it expires!
ham,Please find the attached invoice.
spam,You have been chosen for a lucky draw!
ham,Let’s have lunch at 1 PM.
spam,Win amazing prizes by signing up!
ham,Please update your attendance in the portal.
spam,Your account has won a special bonus click now!
ham,Can you please approve my leave request?
spam,Win exciting rewards by filling this form!
ham,Please share your feedback on the design.
spam,Claim your free holiday trip today!
ham,Your appointment has been confirmed for tomorrow.
spam,Get your free bonus points now!
ham,Please upload the report by 5 PM.
spam,Win instant rewards join today!
ham,Your subscription has been renewed.
spam,You’ve been selected for a free cruise!
ham,Please send the updated schedule.
spam,Get rich quick with this limited-time offer!
ham,Don’t forget about our call at 6 PM.
spam,You’ve received a $1000 voucher claim now!
ham,Please check your email for details.
spam,Click here to activate your free membership!
ham,Your task has been completed successfully.
spam,This is your final reminder to claim your offer!
ham,Can you verify the data in the report?
spam,Win a luxury vacation to Paris!
ham,Please confirm your attendance for the event.
spam,You have been approved for a free credit card!
ham,Thanks for confirming the delivery.
spam,Your reward points are about to expire!
ham,Please send your presentation slides.
spam,Free recharge offer valid till midnight!
ham,Let’s catch up on the weekend.
spam,Claim your free vouchers before they expire!
ham,I’ll send you the payment receipt soon.
spam,Get up to 90% discount shop now!
ham,Please upload the report before deadline.
spam,Win a brand new car join today!
ham,Thanks for sharing the updates.
spam,You’ve been selected for an exclusive reward!
ham,Let’s finalize the design tomorrow.
spam,Free trial offer ends tonight!
ham,Please approve the purchase request.
spam,Win big with our online contest!
ham,Your meeting is rescheduled for 4 PM.
spam,Claim your guaranteed cashback today!
ham,Please bring your laptop to the session.
spam,Your loan has been pre-approved click to claim!
ham,I’ll send the document after review.
spam,You’ve won a $500 Amazon gift card!
ham,Please join the call at 11 AM.
spam,Exclusive offer just for you claim now!
ham,Thanks for your cooperation.
spam,Free coupons available for a limited time!
ham,Please let me know if you need help.
spam,You’ve been awarded free membership!
ham,Can you review the presentation before sending?
spam,Your account has been selected for a reward!
ham,Please share the meeting minutes.
spam,Win shopping vouchers worth $2000!
ham,Don’t forget to fill the daily tracker.
spam,Get a free upgrade to premium!
ham,Please approve the new proposal.
spam,Win exclusive deals register now!
ham,Let’s go for a walk this evening.
spam,Claim your free tickets today only!
ham,Please complete the form before 5 PM.
spam,You have a chance to win an iPhone!
ham,Your report has been successfully submitted.
spam,Click here to activate your free bonus!
ham,Please check your calendar for the invite.
spam,Free entry to our lucky spin!
ham,The task has been assigned to you.
spam,Win cash prizes participate now!
ham,Please submit the form by today.
spam,Claim your free movie tickets instantly!
ham,Don’t forget to bring your ID card.
spam,Exclusive reward waiting for you click here!
ham,Please find the updated plan attached.
spam,Get paid for completing surveys online!
ham,Your payment has been processed successfully.
spam,You have received free points redeem now!
ham,Please let me know once the file is ready.
spam,Your reward will expire in 12 hours!
ham,Let’s connect tomorrow morning.
spam,Act now to double your cashback!
ham,Can you verify the latest report?
spam,Free delivery on all orders claim now!
ham,I’ll confirm once I receive the documents.
spam,Get a free gift with every purchase!
ham,Please reply when you get this message.
spam,Click here to claim your lucky prize!
ham,Thanks for the reminder see you soon.
spam,Your name has been chosen for a free coupon!
ham,Please check the client feedback.
spam,Win shopping rewards worth $5000!
ham,Let’s finalize the project plan.
spam,Limited edition offer grab it now!
ham,Please recheck the data and share updates.
spam,Get your bonus now before it’s gone!
